day,medicine,total
2026-01-12,甘露消毒丹,4.0
2026-01-12,牛蒡子,0.6
2026-01-12,浙貝,1.2
2026-01-12,瓜蔞實,2.6
2026-01-12,半夏,0.9
2026-01-12,陳皮,0.3
2026-01-12,茯苓,1.2
2026-01-12,杏仁,0.6
2026-01-12,滑石,0.3
2026-01-12,白芍,1.0
2026-01-12,厚朴,0.3
2026-01-12,麥冬,0.8
2026-01-12,薏苡仁,1.2
2026-01-12,防風,0.9
2026-01-12,薄荷,0.2
2026-01-12,桔梗,0.6
2026-01-12,黃耆,2.8
2026-01-12,知母,1.5
2026-01-12,白朮,1.2
2026-01-12,補骨脂,1.0
2026-01-12,木瓜,1.2
2026-01-12,牡蠣,1.0
2026-01-12,淫羊藿,0.5
2026-01-12,威靈仙,0.6
2026-01-12,天南星,0.3
2026-01-12,皂角刺,1.1
2026-01-12,水蛭,0.4
2026-01-12,桃仁,0.8
2026-01-12,續斷,0.4
2026-01-12,石斛,0.5
2026-01-12,赤小豆,0.6
2026-01-12,當歸,1.8
2026-01-12,骨碎補,0.4
2026-01-12,牛膝,1.2
2026-01-12,黨參,1.8
2026-01-12,生薑,0.8
2026-01-12,升陽益胃湯,4.8
2026-01-12,葛根,1.2
2026-01-12,升麻,1.1
2026-01-12,菊花,1.0
2026-01-12,黃芩,0.9
2026-01-12,丹皮,0.9
2026-01-12,細辛,0.3
2026-01-12,白蒺藜,0.5
2026-01-12,生地,2.8
2026-01-12,五苓散,2.2
2026-01-12,烏梅,1.6
2026-01-12,花椒,0.4
2026-01-12,附子,0.3
2026-01-12,乾薑,0.3
2026-01-12,黃連,0.55
2026-01-12,黃柏,0.5
2026-01-12,川楝子,0.2
2026-01-12,天花粉,1.2
2026-01-12,海藻,0.6
2026-01-12,炙甘草,0.3
2026-01-12,太子參,1.2
2026-01-12,鱉甲,0.6
2026-01-12,鬱金,0.8
2026-01-12,石菖蒲,0.3
2026-01-12,肉桂,0.55
2026-01-12,瞿麥,0.8
2026-01-12,龍葵,0.6
2026-01-12,紫草,0.6
2026-01-12,桂枝,0.6
2026-01-12,赤芍,0.4
2026-01-12,仙鶴草,1.6
2026-01-12,益母草,0.5
2026-01-12,菟絲子,1.2
2026-01-12,莪朮,0.3
2026-01-12,半夏厚朴湯,2.2
2026-01-12,柴胡,0.8
2026-01-12,桑葉,0.4
2026-01-12,連翹,0.4
2026-01-12,白豆蔻,0.2
2026-01-12,獨活,0.7
2026-01-12,黃耆五物湯,2.2
2026-01-12,貓爪草,0.6
2026-01-12,玉竹,0.8
2026-01-12,紫蘇葉,0.6
2026-01-12,地龍,0.2
2026-01-12,羌活,0.3
2026-01-12,紫石英,0.4
2026-01-12,熟地,0.4
2026-01-12,山藥,0.7
2026-01-12,赤石脂,0.4
2026-01-12,炮薑,0.3
2026-01-12,阿膠,0.3
2026-01-12,龜板,0.3
2026-01-12,山茱萸,0.7
2026-01-12,雞內金,0.5
2026-01-12,甘草,0.2
2026-01-12,肉蓯蓉,0.6
2026-01-12,梔子,0.3
2026-01-12,大黃,0.3
2026-01-12,土茯苓,0.5
2026-01-12,代赭石,0.4
2026-01-12,枳實,0.4
2026-01-13,四逆散,1.8
2026-01-13,半夏厚朴湯,2.2
2026-01-13,白芍,3.9
2026-01-13,黃耆,3.0
2026-01-13,丹參,0.3
2026-01-13,檀香,0.2
2026-01-13,砂仁,1.2
2026-01-13,生地,1.6
2026-01-13,夏枯草,1.7
2026-01-13,百合,0.9
2026-01-13,麥冬,2.4
2026-01-13,升麻,0.85
2026-01-13,防風,2.05
2026-01-13,甘露消毒丹,4.0
2026-01-13,杜仲,1.3
2026-01-13,旋覆花,0.4
2026-01-13,瓜蔞實,1.7
2026-01-13,半夏,1.9
2026-01-13,代赭石,1.4
2026-01-13,茯苓,3.1
2026-01-13,杏仁,0.6
2026-01-13,滑石,1.2
2026-01-13,厚朴,0.6
2026-01-13,澤瀉,1.8
2026-01-13,桑葉,0.4
2026-01-13,桔梗,0.8
2026-01-13,白朮,2.3
2026-01-13,桑寄生,1.0
2026-01-13,續斷,0.4
2026-01-13,山茱萸,1.2
2026-01-13,龍骨,0.4
2026-01-13,牡蠣,2.8
2026-01-13,萆薢,0.4
2026-01-13,炙甘草,0.9
2026-01-13,肉桂,1.4
2026-01-13,知母,0.6
2026-01-13,補骨脂,1.0
2026-01-13,黃芩,2.1
2026-01-13,生薑,2.0
2026-01-13,貓爪草,0.6
2026-01-13,黨參,0.8
2026-01-13,當歸,1.1
2026-01-13,細辛,0.3
2026-01-13,鬱金,3.2
2026-01-13,桃仁,0.2
2026-01-13,紅棗,0.4
2026-01-13,吳茱萸,0.2
2026-01-13,當歸四逆湯,3.1
2026-01-13,附子,0.7
2026-01-13,天南星,0.5
2026-01-13,浮小麥,0.5
2026-01-13,龜板,2.7
2026-01-13,丹皮,1.8
2026-01-13,牛膝,3.6
2026-01-13,車前子,2.9
2026-01-13,黃柏,0.5
2026-01-13,五味子,2.3
2026-01-13,太子參,6.5
2026-01-13,真武湯,4.3
2026-01-13,黃連,1.3
2026-01-13,熟地,0.8
2026-01-13,山藥,1.8
2026-01-13,雞內金,0.5
2026-01-13,瞿麥,1.4
2026-01-13,天花粉,2.3
2026-01-13,梔子豉湯,2.0
2026-01-13,玄參,0.9
2026-01-13,天冬,1.1
2026-01-13,茵陳,0.4
2026-01-13,川芎,0.8
2026-01-13,神曲,0.9
2026-01-13,木香,1.5
2026-01-13,威靈仙,1.8
2026-01-13,牛蒡子,0.6
2026-01-13,肉蓯蓉,1.0
