month,medicine,total
2026-01,甘露消毒丹,8.0
2026-01,牛蒡子,1.2
2026-01,浙貝,2.5
2026-01,瓜蔞實,6.3
2026-01,半夏,5.2
2026-01,陳皮,1.6
2026-01,茯苓,8.85
2026-01,杏仁,1.5
2026-01,滑石,2.1
2026-01,白芍,8.6
2026-01,厚朴,1.2
2026-01,麥冬,4.4
2026-01,薏苡仁,3.6
2026-01,防風,4.85
2026-01,薄荷,0.7
2026-01,桔梗,1.8
2026-01,黃耆,10.8
2026-01,知母,4.5
2026-01,白朮,5.9
2026-01,補骨脂,3.0
2026-01,木瓜,2.1
2026-01,牡蠣,6.0
2026-01,淫羊藿,0.5
2026-01,威靈仙,3.6
2026-01,天南星,0.8
2026-01,皂角刺,2.3
2026-01,水蛭,0.6
2026-01,桃仁,1.3
2026-01,續斷,0.8
2026-01,石斛,0.9
2026-01,赤小豆,0.6
2026-01,當歸,5.5
2026-01,骨碎補,0.4
2026-01,牛膝,9.0
2026-01,黨參,5.4
2026-01,生薑,4.3
2026-01,升陽益胃湯,4.8
2026-01,葛根,4.8
2026-01,升麻,2.55
2026-01,菊花,3.9
2026-01,黃芩,5.8
2026-01,丹皮,3.6
2026-01,細辛,1.0
2026-01,白蒺藜,1.5
2026-01,生地,8.8
2026-01,五苓散,6.6
2026-01,烏梅,2.2
2026-01,花椒,0.6
2026-01,附子,1.45
2026-01,乾薑,0.3
2026-01,黃連,3.45
2026-01,黃柏,1.8
2026-01,川楝子,0.4
2026-01,天花粉,5.9
2026-01,海藻,0.6
2026-01,炙甘草,1.3
2026-01,太子參,10.7
2026-01,鱉甲,1.0
2026-01,鬱金,9.1
2026-01,石菖蒲,3.0
2026-01,肉桂,3.25
2026-01,瞿麥,3.7
2026-01,龍葵,0.6
2026-01,紫草,0.6
2026-01,桂枝,1.5
2026-01,赤芍,1.6
2026-01,仙鶴草,4.0
2026-01,益母草,0.5
2026-01,菟絲子,1.2
2026-01,莪朮,0.3
2026-01,半夏厚朴湯,4.4
2026-01,柴胡,7.5
2026-01,桑葉,1.1
2026-01,連翹,2.0
2026-01,白豆蔻,0.2
2026-01,獨活,2.3
2026-01,黃耆五物湯,2.2
2026-01,貓爪草,1.2
2026-01,玉竹,0.8
2026-01,紫蘇葉,0.6
2026-01,地龍,0.2
2026-01,羌活,1.3
2026-01,紫石英,0.4
2026-01,熟地,1.6
2026-01,山藥,5.0
2026-01,赤石脂,1.1
2026-01,炮薑,0.5
2026-01,阿膠,2.4
2026-01,龜板,5.0
2026-01,山茱萸,1.9
2026-01,雞內金,1.0
2026-01,甘草,2.1
2026-01,肉蓯蓉,2.1
2026-01,梔子,0.5
2026-01,大黃,0.3
2026-01,土茯苓,1.9
2026-01,代赭石,2.7
2026-01,枳實,4.4
2026-01,四逆散,1.8
2026-01,丹參,0.9
2026-01,檀香,0.2
2026-01,砂仁,1.7
2026-01,夏枯草,2.9
2026-01,百合,1.9
2026-01,杜仲,2.7
2026-01,旋覆花,0.4
2026-01,澤瀉,2.9
2026-01,桑寄生,1.6
2026-01,龍骨,1.2
2026-01,萆薢,0.7
2026-01,紅棗,0.4
2026-01,吳茱萸,0.4
2026-01,當歸四逆湯,3.1
2026-01,浮小麥,1.1
2026-01,車前子,4.0
2026-01,五味子,4.1
2026-01,真武湯,6.5
2026-01,梔子豉湯,4.9
2026-01,玄參,1.4
2026-01,天冬,1.9
2026-01,茵陳,1.0
2026-01,川芎,2.7
2026-01,神曲,1.8
2026-01,木香,2.6
2026-01,小陷胸湯,6.7
2026-01,枇杷葉,0.4
2026-01,降香,0.2
2026-01,蘆根,1.7
2026-01,銀柴胡,1.1
2026-01,桑白皮,0.9
2026-01,蟬蛻,0.9
2026-01,溫膽湯,6.2
2026-01,膽南星,1.2
2026-01,夜交藤,0.5
2026-01,青皮,0.4
2026-01,天麻,0.9
2026-01,枸杞子,0.5
2026-01,何首烏,1.6
2026-01,蒼朮,1.6
2026-01,五靈脂,0.3
2026-01,皂莢,0.3
2026-01,白茅根,0.5
2026-01,麻黃,0.7
2026-01,乳香,0.4
2026-01,沒藥,0.4
2026-01,芡實,1.2
2026-01,冬瓜子,0.4
2026-01,柴胡桂枝乾薑湯,6.4
2026-01,枳殼,0.4
2026-01,蓮子,1.1
2026-01,酸棗仁,1.5
2026-01,檳榔,0.6
2026-01,遠志,2.4
2026-01,竹茹,1.7
2026-01,苦參,0.4
2026-01,甘麥大棗湯,2.6
2026-01,防己,0.2
2026-01,女貞子,0.5
2026-01,白薇,0.3
2026-01,青蒿,0.7
2026-01,茜草,0.4
2026-01,敗醬草,0.6
2026-01,殭蠶,0.3
2026-01,萊菔子,0.4
2026-01,白芥子,0.2
2026-01,麥芽,0.4
2026-01,桂枝湯,1.8
2026-01,荊芥,0.3
2026-01,藿香,0.6
2026-01,香附,0.4
2026-01,小建中湯,2.7
2026-01,黃連湯,3.0
2026-01,柏子仁,0.4
2026-01,三七,0.3
2026-01,石膏,0.6
2026-01,川牛膝,0.5
2026-01,金銀花,0.6
2026-01,草豆蔻,0.5
